740,31
821,57
360,932
231,495
195,905
504,444
28,215
399,157
114,266
189,544
307,722
402,669
689,924
467,98
622,627
3,723
354,279
874,313
902,478
335,375
142,216
783,990
205,348
455,224
558,709
192,547
425,293
978,690
342,132
416,553
912,499
819,996
735,650
880,749
391,541
433,440
245,934
409,585
168,333
157,174
310,954
610,841
855,580
250,490
69,891
977,559
183,935
634,187
821,733
873,69
313,850
933,256
597,780
419,515
859,927
218,258
820,253
290,892
199,776
239,198
676,186
203,164
689,562
376,906
974,441
707,98
985,862
74,919
916,401
678,189
52,821
381,50
163,781
700,689
84,599
395,72
994,325
567,539
717,925
2,695
381,814
867,591
947,157
314,50
947,566
74,740
143,624
612,850
637,441
935,949
964,890
989,293
80,940
573,982
775,301
887,415
254,617
459,428
364,437
338,388
